Customer ID,Year,Order Date,Source City,Destination City,Distance,Planned Delivery Date,Actual Delivery Date,Shipment Delay,Price Charged,Cost,Profit
54,Covid,30/05/21,Pukhrayan,Jhargram,1721,03/06/21,04/06/21,1,500,400,100
55,Post Covid,12/08/22,Udupi,Lachhmangarh,2375,17/08/22,16/08/22,-1,500,270,230
56,Covid,01/09/20,Udaipur,Vatakara,206,02/09/20,02/09/20,0,100,83,17
57,Post Covid,02/12/22,Jagdalpur,AlipurdUrban Agglomerationr,591,04/12/22,04/12/22,0,200,104,96
58,Covid,31/05/20,Wadhwan,Sheikhpura,1986,04/06/20,06/06/20,2,500,380,120
59,Covid,11/09/20,Rajam,Tuensang,297,12/09/20,12/09/20,0,200,156,44
60,Covid,26/06/21,Sankeshwara,Neyveli (TS),206,27/06/21,27/06/21,0,100,82,18
61,Post Covid,21/05/22,Umarga,Jhumri Tilaiya,2204,26/05/22,25/05/22,-1,500,285,215
62,Covid,31/12/21,Tiruttani,Viramgam,2150,05/01/22,07/01/22,2,500,400,100
63,Covid,27/11/21,Tamluk,Dharmavaram,2365,02/12/21,04/12/21,2,500,420,80
64,Post Covid,12/09/22,Tuljapur,Samthar,981,14/09/22,14/09/22,0,350,175,175
65,Post Covid,02/02/22,Soro,Dumka,809,04/02/22,04/02/22,0,350,203,147
66,Post Covid,01/01/22,Virudhunagar,Jagraon,318,02/01/22,02/01/22,0,200,104,96
67,Covid,05/04/21,Sambhal,Sitamarhi,1217,08/04/21,09/04/21,1,350,294,56
68,Post Covid,28/12/22,Sanawad,Thangadh,565,30/12/22,30/12/22,0,200,106,94
69,Post Covid,29/06/22,Kishanganj,Sahjanwa,1451,02/07/22,02/07/22,0,350,189,161
70,Post Covid,02/07/22,Vapi,Sumerpur,1634,06/07/22,05/07/22,-1,500,295,205
71,Covid,24/06/20,Manmad,Phillaur,249,25/06/20,25/06/20,0,100,77,23
72,Covid,24/12/21,Rehli,Pathri,2498,29/12/21,31/12/21,2,500,405,95
73,Covid,15/01/21,Sitamarhi,Ratia,477,16/01/21,16/01/21,0,200,164,36
74,Covid,13/06/20,Chirkunda,Thirumangalam,198,14/06/20,14/06/20,0,100,77,23
75,Covid,26/10/20,Nawanshahr,Punjaipugalur,519,28/10/20,28/10/20,0,200,158,42
76,Covid,11/11/20,Sattenapalle,Aurangabad,449,12/11/20,12/11/20,0,200,162,38
77,Post Covid,01/10/22,Rajapalayam,Shikohabad,555,03/10/22,03/10/22,0,200,108,92
78,Covid,01/11/20,Reengus,Coimbatore,2487,06/11/20,08/11/20,2,500,385,115
79,Post Covid,23/05/22,Mundi,Palitana,2020,28/05/22,27/05/22,-1,500,275,225
80,Post Covid,30/09/22,Sanawad,Nargund,389,01/10/22,01/10/22,0,200,100,100
81,Covid,01/05/21,Mahuva,Nakur,2237,06/05/21,08/05/21,2,500,420,80
82,Post Covid,19/06/22,Sivagiri,Saharanpur,201,20/06/22,20/06/22,0,100,53,47
83,Post Covid,19/09/22,Warhapur,Mirganj,1559,23/09/22,22/09/22,-1,500,255,245
84,Post Covid,01/01/22,Nagpur,AlipurdUrban Agglomerationr,217,02/01/22,02/01/22,0,100,50,50
85,Covid,04/10/21,Nanjangud,Vikarabad,2353,09/10/21,11/10/21,2,500,425,75
86,Post Covid,19/11/22,Pihani,Rayadurg,430,20/11/22,20/11/22,0,200,104,96
87,Post Covid,18/07/22,Meerut,Thiruvalla,2069,23/07/22,22/07/22,-1,500,250,250
88,Covid,14/10/20,Venkatagiri,Mirganj,1435,17/10/20,18/10/20,1,350,269.5,80.5
89,Post Covid,02/08/22,Arambagh,Vadodara,1961,06/08/22,05/08/22,-1,500,260,240
90,Post Covid,20/10/22,Nangal,Mandamarri,524,22/10/22,22/10/22,0,200,108,92
91,Post Covid,13/04/22,Sopore,Shahpura,550,15/04/22,15/04/22,0,200,102,98
92,Covid,20/08/20,Rajula,Malkangiri,1002,23/08/20,24/08/20,1,350,297.5,52.5
93,Post Covid,07/01/22,Karur,Vasai-Virar,2052,12/01/22,11/01/22,-1,500,270,230
94,Covid,14/06/21,Shirdi,Savarkundla,1390,17/06/21,18/06/21,1,350,297.5,52.5
95,Covid,05/11/21,Lalsot,Ramganj Mandi,710,07/11/21,07/11/21,0,200,150,50
96,Covid,16/08/20,Bathinda,Tirukkoyilur,95,17/08/20,17/08/20,0,100,75,25
97,Post Covid,26/09/22,Paramakudi,Palasa Kasibugga,841,28/09/22,28/09/22,0,350,182,168
98,Post Covid,18/10/22,Ron,Sheoganj,1504,22/10/22,21/10/22,-1,500,270,230
99,Post Covid,04/10/22,Achhnera,Dhule,52,05/10/22,05/10/22,0,100,52,48
100,Post Covid,27/05/22,Phalodi,Pithapuram,1095,30/05/22,30/05/22,0,350,203,147
101,Post Covid,22/02/22,Barmer,Limbdi,1664,26/02/22,25/02/22,-1,500,275,225
102,Post Covid,18/12/22,Sonipat,Shikaripur,1173,21/12/22,21/12/22,0,350,185.5,164.5
103,Post Covid,21/11/22,Usilampatti,Medinipur,171,22/11/22,22/11/22,0,100,58,42
104,Covid,19/09/21,Mukhed,English Bazar,2136,24/09/21,26/09/21,2,500,425,75
105,Post Covid,04/10/22,Malegaon,Uthiramerur,1641,08/10/22,07/10/22,-1,500,275,225
106,Post Covid,26/05/22,Vandavasi,Panagudi,1295,29/05/22,29/05/22,0,350,199.5,150.5
107,Covid,18/06/21,Malur,Samalkha,2270,23/06/21,25/06/21,2,500,425,75
108,Covid,01/02/21,Jhansi,Raxaul Bazar,2282,06/02/21,08/02/21,2,500,390,110
109,Covid,21/11/20,Jalandhar Cantt.,Mansa,860,23/11/20,23/11/20,0,350,262.5,87.5
110,Covid,26/09/21,Godhra,Rajauri,1230,29/09/21,30/09/21,1,350,269.5,80.5
111,Post Covid,30/08/22,Ujjain,Rameshwaram,1486,02/09/22,02/09/22,0,350,185.5,164.5
112,Covid,17/04/20,Mariani,Karimganj,653,19/04/20,19/04/20,0,200,168,32
113,Post Covid,26/02/22,Sholavandan,Sullurpeta,718,28/02/22,28/02/22,0,200,118,82
114,Post Covid,29/10/22,Sundarnagar,Sikar,1815,02/11/22,01/11/22,-1,500,255,245
115,Covid,03/05/21,Kottayam,Mysore,2254,08/05/21,10/05/21,2,500,395,105
116,Post Covid,15/04/22,Bokaro Steel City,Kothagudem,865,17/04/22,17/04/22,0,350,210,140
117,Post Covid,07/02/22,Paithan,Thirupuvanam,1521,11/02/22,10/02/22,-1,500,265,235
118,Post Covid,22/04/22,Bhilwara,Nokha,349,23/04/22,23/04/22,0,200,116,84
119,Post Covid,13/04/22,Barbil,Koyilandy,1682,17/04/22,16/04/22,-1,500,285,215
120,Post Covid,15/10/22,Chhapra,Kozhikode,780,17/10/22,17/10/22,0,350,178.5,171.5
121,Post Covid,12/03/22,Gudivada,Ramnagar,1873,16/03/22,15/03/22,-1,500,295,205
122,Covid,05/07/20,Ankleshwar,Rajsamand,1680,09/07/20,10/07/20,1,500,425,75
123,Covid,05/05/21,Rewari,Tuni,570,07/05/21,07/05/21,0,200,156,44
124,Covid,01/09/21,Diphu,Bilaspur,1250,04/09/21,05/09/21,1,350,280,70
125,Covid,06/09/20,Mansa,Tirupathur,616,08/09/20,08/09/20,0,200,154,46
126,Post Covid,01/04/22,Durg,Manawar,148,02/04/22,02/04/22,0,100,59,41
127,Post Covid,23/01/22,Zunheboto,Sheopur,2281,28/01/22,27/01/22,-1,500,295,205
128,Covid,10/11/21,Naugawan Sadat,Raayachuru,2102,15/11/21,17/11/21,2,500,420,80
129,Covid,02/08/20,Nalbari,Veraval,833,04/08/20,04/08/20,0,350,283.5,66.5
130,Post Covid,11/08/22,Robertsganj,Vijapur,1163,14/08/22,14/08/22,0,350,192.5,157.5
131,Post Covid,07/10/22,Pratapgarh,Erode,304,08/10/22,08/10/22,0,200,110,90
132,Covid,12/12/20,Partur,Cuttack,1606,16/12/20,17/12/20,1,500,415,85
133,Covid,25/11/20,Yemmiganur,Sawantwadi,1275,28/11/20,29/11/20,1,350,269.5,80.5
134,Covid,17/09/21,Sonepur,Nellore,1761,21/09/21,23/09/21,2,500,395,105
135,Post Covid,09/08/22,Ladwa,Mandideep,1508,13/08/22,12/08/22,-1,500,255,245
136,Covid,02/11/21,Wanaparthy,Arakkonam,1417,05/11/21,06/11/21,1,350,280,70
137,Covid,19/08/20,Kendrapara,Ambikapur,1937,23/08/20,25/08/20,2,500,420,80
138,Covid,02/06/21,Surapura,Mansa,2086,07/06/21,09/06/21,2,500,405,95
139,Covid,18/11/21,Amritsar,Mungeli,854,20/11/21,20/11/21,0,350,266,84
140,Post Covid,28/01/22,Jamalpur,Lingsugur,946,30/01/22,30/01/22,0,350,206.5,143.5
141,Post Covid,20/09/22,Malappuram,Palampur,1552,24/09/22,23/09/22,-1,500,260,240
142,Post Covid,10/06/22,Todabhim,Rajaldesar,2139,15/06/22,14/06/22,-1,500,260,240
143,Covid,03/10/20,Narsinghgarh,Palwancha,2318,08/10/20,10/10/20,2,500,375,125
144,Post Covid,18/03/22,Usilampatti,Rayachoti,560,20/03/22,20/03/22,0,200,110,90
145,Post Covid,14/09/22,Tuni,Khammam,376,15/09/22,15/09/22,0,200,118,82
146,Post Covid,17/11/22,Mhaswad,Kunnamkulam,1525,21/11/22,20/11/22,-1,500,275,225
147,Covid,07/11/20,Bagaha,Phusro,2330,12/11/20,14/11/20,2,500,425,75
148,Post Covid,30/07/22,Adyar,Merta City,933,01/08/22,01/08/22,0,350,182,168
149,Post Covid,21/05/22,Madhubani,Soron,1800,25/05/22,24/05/22,-1,500,265,235
150,Post Covid,13/04/22,Maihar,Nilanga,1183,16/04/22,16/04/22,0,350,175,175
151,Post Covid,20/03/22,Indore,Maharajpur,2110,25/03/22,24/03/22,-1,500,300,200
152,Covid,13/06/20,Hindupur,Valsad,1004,16/06/20,17/06/20,1,350,266,84
153,Covid,29/06/20,Kolar,Muddebihal,677,01/07/20,01/07/20,0,200,158,42
154,Post Covid,06/06/22,Medinipur,Shoranur,1049,09/06/22,09/06/22,0,350,175,175
155,Post Covid,07/08/22,Chirkunda,Kyathampalle,707,09/08/22,09/08/22,0,200,110,90
156,Covid,01/02/21,Saharsa,Aurangabad,1795,05/02/21,07/02/21,2,500,410,90
157,Covid,12/05/20,Zira,Patna,1491,15/05/20,16/05/20,1,350,266,84
158,Post Covid,06/06/22,Sironj,Salur,2356,11/06/22,10/06/22,-1,500,300,200
159,Post Covid,23/01/22,Sakaleshapura,Ludhiana,431,24/01/22,24/01/22,0,200,118,82
160,Post Covid,25/12/22,Muddebihal,Baleshwar Town,283,26/12/22,26/12/22,0,200,104,96
161,Covid,27/09/21,Srisailam Project (Right Flank Colony) Township,Najibabad,165,28/09/21,28/09/21,0,100,76,24
162,Covid,25/10/20,Shajapur,Dhamtari,1186,28/10/20,29/10/20,1,350,287,63
163,Covid,10/10/20,Mount Abu,Ranipet,1857,14/10/20,16/10/20,2,500,400,100
164,Post Covid,12/07/22,North Lakhimpur,Mangaldoi,2295,17/07/22,16/07/22,-1,500,285,215
165,Covid,01/09/20,Patti,Thiruthuraipoondi,1430,04/09/20,05/09/20,1,350,273,77
166,Covid,10/07/20,Thiruthuraipoondi,Eluru,803,12/07/20,12/07/20,0,350,283.5,66.5
167,Post Covid,24/03/22,Rupnagar,Nabarangapur,1763,28/03/22,27/03/22,-1,500,270,230
168,Post Covid,17/02/22,Alappuzha,Malappuram,1186,20/02/22,20/02/22,0,350,192.5,157.5
169,Post Covid,28/02/22,Faridabad,Sikandrabad,2156,05/03/22,04/03/22,-1,500,255,245
170,Post Covid,25/01/22,Surandai,Jalandhar Cantt.,1323,28/01/22,28/01/22,0,350,196,154
171,Post Covid,09/09/22,Suratgarh,Tharangambadi,203,10/09/22,10/09/22,0,100,53,47
172,Post Covid,25/03/22,Viramgam,Mihijam,1879,29/03/22,28/03/22,-1,500,290,210
173,Post Covid,09/08/22,Ashok Nagar,Shikaripur,58,10/08/22,10/08/22,0,100,54,46
174,Covid,06/10/20,Vijapur,Satana,404,07/10/20,07/10/20,0,200,166,34
175,Covid,02/10/20,Rahatgarh,Sambhar,1115,05/10/20,06/10/20,1,350,269.5,80.5
176,Covid,11/08/21,Phagwara,Tasgaon,1511,15/08/21,16/08/21,1,500,425,75
177,Covid,25/08/21,Mahe,Jammalamadugu,269,26/08/21,26/08/21,0,200,152,48
178,Post Covid,09/01/22,Chalakudy,Barh,2189,14/01/22,13/01/22,-1,500,295,205
179,Covid,05/02/21,Kasaragod,Simdega,1547,09/02/21,10/02/21,1,500,405,95
180,Post Covid,10/06/22,Panna,Qadian,728,12/06/22,12/06/22,0,200,110,90
181,Post Covid,06/01/22,Ballari,Lanka,2184,11/01/22,10/01/22,-1,500,280,220
182,Covid,19/02/21,Sirohi,Shamgarh,2435,24/02/21,26/02/21,2,500,420,80
183,Post Covid,30/04/22,Sasaram,Karur,367,01/05/22,01/05/22,0,200,110,90
184,Covid,06/04/21,Thane,Rath,1275,09/04/21,10/04/21,1,350,269.5,80.5
185,Post Covid,11/10/22,Sumerpur,Belagavi,426,12/10/22,12/10/22,0,200,100,100
186,Covid,08/05/21,Belagavi,Narkhed,1105,11/05/21,12/05/21,1,350,266,84
187,Post Covid,10/08/22,Ludhiana,Thiruthuraipoondi,2466,15/08/22,14/08/22,-1,500,260,240
188,Post Covid,06/04/22,Nathdwara,Sanduru,363,07/04/22,07/04/22,0,200,116,84
189,Post Covid,26/10/22,Brahmapur,Khammam,291,27/10/22,27/10/22,0,200,108,92
190,Covid,24/07/20,Sujanpur,Sullurpeta,1330,27/07/20,28/07/20,1,350,297.5,52.5
191,Covid,13/05/20,Port Blair,Pakaur,1283,16/05/20,17/05/20,1,350,262.5,87.5
192,Covid,29/05/21,Amalner,Madurai,2271,03/06/21,05/06/21,2,500,425,75
193,Post Covid,11/10/22,Nawada,Revelganj,702,13/10/22,13/10/22,0,200,100,100
194,Covid,13/07/20,Patiala,Savarkundla,1909,17/07/20,19/07/20,2,500,375,125
195,Post Covid,08/01/22,Sankari,Pune,380,09/01/22,09/01/22,0,200,112,88
196,Covid,27/10/21,Tindivanam,Narwana,1404,30/10/21,31/10/21,1,350,266,84
197,Covid,24/12/21,Aurangabad,Merta City,194,25/12/21,25/12/21,0,100,76,24
198,Covid,09/04/20,Lar,Baharampur,1393,12/04/20,13/04/20,1,350,287,63
199,Post Covid,19/12/22,Palanpur,Rajakhera,2381,24/12/22,23/12/22,-1,500,270,230
200,Post Covid,24/04/22,Malda,Sausar,1826,28/04/22,27/04/22,-1,500,295,205
201,Post Covid,23/02/22,Ranebennuru,Panagar,879,25/02/22,25/02/22,0,350,175,175
202,Covid,04/10/20,Pali,Kottayam,2280,09/10/20,11/10/20,2,500,395,105
203,Covid,18/01/21,Manasa,Mandawa,1239,21/01/21,22/01/21,1,350,283.5,66.5
204,Covid,14/10/21,Samalkha,Taki,2445,19/10/21,21/10/21,2,500,390,110
205,Post Covid,02/08/22,Raghunathpur,Mahemdabad,1003,05/08/22,05/08/22,0,350,175,175
206,Post Covid,02/01/22,Karimnagar,Katihar,786,04/01/22,04/01/22,0,350,182,168
207,Post Covid,09/11/22,Jammu,Dumraon,812,11/11/22,11/11/22,0,350,192.5,157.5
208,Covid,04/01/21,Sira,Gokak,176,05/01/21,05/01/21,0,100,78,22
209,Post Covid,21/05/22,Seoni,Monoharpur,1073,24/05/22,24/05/22,0,350,203,147
210,Post Covid,25/04/22,Tenu dam-cum-Kathhara,Sheohar,2020,30/04/22,29/04/22,-1,500,265,235
211,Covid,02/12/21,Silvassa,Mansa,1594,06/12/21,07/12/21,1,500,400,100
212,Covid,27/09/20,Margao,Pulgaon,1736,01/10/20,02/10/20,1,500,375,125
213,Covid,15/09/20,Hazaribag,Mudabidri,1325,18/09/20,19/09/20,1,350,273,77
214,Covid,10/01/21,Kanhangad,Bhawanipatna,2000,14/01/21,16/01/21,2,500,415,85
215,Post Covid,16/12/22,"Morinda, India",Alwar,188,17/12/22,17/12/22,0,100,59,41
216,Post Covid,29/07/22,Mandvi,Khammam,2022,03/08/22,02/08/22,-1,500,265,235
217,Post Covid,12/03/22,Bobbili,Nashik,1984,16/03/22,15/03/22,-1,500,270,230
218,Covid,04/06/20,Punganur,Umarkhed,961,06/06/20,06/06/20,0,350,283.5,66.5
219,Post Covid,09/01/22,Katihar,Shahjahanpur,1055,12/01/22,12/01/22,0,350,199.5,150.5
220,Covid,16/05/20,Arvi,Sonipat,1224,19/05/20,20/05/20,1,350,273,77
221,Covid,30/05/21,Chirkunda,Madikeri,1862,03/06/21,05/06/21,2,500,410,90
222,Post Covid,01/06/22,Kancheepuram,Murliganj,2158,06/06/22,05/06/22,-1,500,270,230
223,Covid,26/06/21,Aruppukkottai,Proddatur,666,28/06/21,28/06/21,0,200,152,48
224,Post Covid,03/11/22,Arwal,Solan,169,04/11/22,04/11/22,0,100,50,50
225,Covid,04/05/20,Ankleshwar,Mandya,192,05/05/20,05/05/20,0,100,81,19
226,Post Covid,04/06/22,Chandigarh,Vandavasi,634,06/06/22,06/06/22,0,200,110,90
227,Post Covid,02/08/22,Tumsar,Washim,655,04/08/22,04/08/22,0,200,118,82
228,Covid,20/06/21,Baharampur,Mihijam,468,21/06/21,21/06/21,0,200,152,48
229,Covid,25/03/21,Deoghar,Usilampatti,1920,29/03/21,31/03/21,2,500,395,105
230,Covid,08/05/20,Polur,Vatakara,1541,12/05/20,13/05/20,1,500,415,85
231,Post Covid,17/09/22,Ajmer,Venkatagiri,1358,20/09/22,20/09/22,0,350,185.5,164.5
232,Post Covid,01/07/22,Shrirampur,Sangli,832,03/07/22,03/07/22,0,350,196,154
233,Post Covid,20/11/22,Moradabad,Radhanpur,1581,24/11/22,23/11/22,-1,500,300,200
234,Post Covid,01/06/22,Bhadrachalam,Rahuri,405,02/06/22,02/06/22,0,200,100,100
235,Post Covid,10/11/22,Forbesganj,Pudukkottai,1198,13/11/22,13/11/22,0,350,178.5,171.5
236,Post Covid,06/05/22,Ladwa,Muzaffarpur,762,08/05/22,08/05/22,0,350,185.5,164.5
237,Covid,08/11/21,Ponneri,Nautanwa,1690,12/11/21,13/11/21,1,500,380,120
238,Post Covid,20/04/22,Mangaldoi,Alirajpur,461,21/04/22,21/04/22,0,200,104,96
239,Post Covid,26/09/22,Vadakkuvalliyur,Manavadar,1735,30/09/22,29/09/22,-1,500,300,200
240,Post Covid,21/10/22,Jamnagar,Sihora,2305,26/10/22,25/10/22,-1,500,300,200
241,Post Covid,23/03/22,Ongole,Agra,1434,26/03/22,26/03/22,0,350,175,175
242,Covid,04/08/20,Shegaon,Zira,224,05/08/20,05/08/20,0,100,81,19
243,Covid,15/06/20,Pasan,Rawatbhata,1245,18/06/20,19/06/20,1,350,280,70
244,Covid,06/06/21,Kendrapara,Sujangarh,570,08/06/21,08/06/21,0,200,162,38
245,Covid,05/05/20,Peravurani,Bongaigaon City,1930,09/05/20,11/05/20,2,500,390,110
246,Covid,06/11/20,Lakhimpur,Sangaria,2219,11/11/20,13/11/20,2,500,380,120
247,Covid,04/02/21,Laharpur,Lal Gopalganj Nindaura,1240,07/02/21,08/02/21,1,350,297.5,52.5
248,Covid,20/02/21,Firozpur,Sonipat,931,22/02/21,22/02/21,0,350,266,84
249,Covid,14/08/20,Adyar,Tinsukia,464,15/08/20,15/08/20,0,200,166,34
250,Post Covid,05/03/22,Nokha,Tiruvuru,2150,10/03/22,09/03/22,-1,500,275,225
251,Covid,17/06/21,Mangaldoi,Korba,139,18/06/21,18/06/21,0,100,76,24
252,Covid,17/11/20,Bargarh,Rehli,2098,22/11/20,24/11/20,2,500,375,125
253,Covid,12/04/21,Tarakeswar,Kolkata,2217,17/04/21,19/04/21,2,500,375,125
254,Post Covid,08/09/22,Chittoor,Nagari,148,09/09/22,09/09/22,0,100,55,45
255,Post Covid,16/09/22,Sangareddy,Bhongir,991,18/09/22,18/09/22,0,350,192.5,157.5
256,Covid,19/12/20,Achalpur,Lohardaga,155,20/12/20,20/12/20,0,100,80,20
257,Post Covid,27/07/22,Jammalamadugu,Proddatur,1328,30/07/22,30/07/22,0,350,196,154
258,Covid,11/10/21,Shahbad,Malappuram,260,12/10/21,12/10/21,0,200,150,50
259,Covid,19/04/20,Thakurdwara,Cuttack,181,20/04/20,20/04/20,0,100,75,25
260,Post Covid,25/03/22,Kurnool,Pacode,1883,29/03/22,28/03/22,-1,500,260,240
261,Covid,07/01/21,Ganjbasoda,Gohana,2135,12/01/21,14/01/21,2,500,420,80
262,Covid,14/07/21,Rairangpur,Polur,2364,19/07/21,21/07/21,2,500,375,125
263,Post Covid,05/05/22,Maddur,Mapusa,2186,10/05/22,09/05/22,-1,500,290,210
264,Covid,05/09/21,Jhumri Tilaiya,Lakhisarai,386,06/09/21,06/09/21,0,200,150,50
265,Covid,24/06/20,Dhoraji,Mangaldoi,2452,29/06/20,01/07/20,2,500,405,95
266,Covid,16/06/20,Kyathampalle,Sirsaganj,1360,19/06/20,20/06/20,1,350,276.5,73.5
267,Post Covid,23/08/22,Mokokchung,Mathabhanga,2132,28/08/22,27/08/22,-1,500,290,210
268,Covid,20/06/20,Raghunathganj,Tiruchengode,722,22/06/20,22/06/20,0,200,156,44
269,Covid,17/09/20,Padra,Maddur,389,18/09/20,18/09/20,0,200,156,44
270,Post Covid,17/03/22,Sadri,Tilda Newra,2151,22/03/22,21/03/22,-1,500,275,225
271,Post Covid,01/11/22,Bhadrachalam,Longowal,402,02/11/22,02/11/22,0,200,106,94
272,Post Covid,10/07/22,Kollam,Talode,2464,15/07/22,14/07/22,-1,500,275,225
273,Post Covid,14/07/22,Partur,Rampura Phul,318,15/07/22,15/07/22,0,200,104,96
274,Post Covid,05/03/22,Amalapuram,Ujhani,1609,09/03/22,08/03/22,-1,500,255,245
275,Post Covid,10/05/22,Sivagiri,Simdega,2124,15/05/22,14/05/22,-1,500,275,225
276,Covid,16/12/21,Lachhmangarh,Manmad,2418,21/12/21,23/12/21,2,500,380,120
277,Covid,23/01/21,Longowal,Valsad,837,25/01/21,25/01/21,0,350,297.5,52.5
278,Post Covid,10/09/22,Pratapgarh,Sopore,2041,15/09/22,14/09/22,-1,500,255,245
279,Post Covid,08/12/22,Rajsamand,Jagdalpur,713,10/12/22,10/12/22,0,200,116,84
280,Covid,01/11/20,Munger,Gohana,1552,05/11/20,06/11/20,1,500,425,75
